UserID,Prediction,Actual,Hit-Ratio,confi
181116,"[308, 38, 233, 287, 277, 472, 451, 0, 1, 422, 97, 109, 373, 63, 219]","{0, 1, 2, 3}",0.5,0.4-0.6
33799,"[465, 491, 58, 156, 315, 144, 15, 181, 314, 357, 415, 366, 452, 400, 0]",{0},1.0,0.8-1.0
120092,"[381, 26, 83, 306, 341, 397, 367, 34, 74, 274, 124, 283, 149, 392, 148]","{0, 1}",0.0,0-0.2
688,"[0, 344, 498, 1, 58, 87, 482, 184, 426, 289, 231, 110, 311, 364, 145]","{0, 1, 2, 3}",0.5,0.4-0.6
150482,"[2, 68, 4, 186, 131, 6, 233, 3, 417, 228, 38, 437, 59, 180, 173]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}",0.3076923076923077,0.2-0.4
105091,"[49, 256, 513, 416, 454, 505, 506, 356, 1, 319, 322, 52, 91, 259, 2]","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}",0.125,0-0.2
55864,"[277, 156, 160, 429, 262, 488, 364, 119, 1, 269, 136, 209, 150, 48, 333]","{0, 1}",0.5,0.4-0.6
174364,"[1, 278, 301, 108, 2, 287, 73, 166, 52, 183, 491, 198, 146, 135, 418]","{0, 1, 2, 3}",0.5,0.4-0.6
40620,"[0, 55, 167, 200, 121, 119, 304, 453, 211, 479, 158, 18, 210, 50, 252]","{0, 1, 2}",0.3333333333333333,0.2-0.4
181773,"[98, 218, 239, 110, 442, 3, 63, 421, 474, 194, 73, 193, 0, 234, 29]","{0, 1, 2, 3}",0.5,0.4-0.6
45675,"[135, 408, 405, 32, 20, 320, 431, 10, 144, 111, 253, 455, 176, 389, 2]","{0, 1, 2, 3}",0.25,0.2-0.4
90050,"[0, 25, 369, 491, 116, 122, 425, 93, 38, 112, 102, 43, 294, 257, 3]","{0, 1, 2, 3, 4, 5}",0.3333333333333333,0.2-0.4
35638,"[158, 128, 34, 343, 240, 289, 359, 297, 500, 49, 81, 166, 464, 117, 168]","{0, 1, 2, 3, 4, 5, 6, 7}",0.0,0-0.2
48934,"[384, 86, 4, 95, 164, 462, 294, 479, 318, 261, 364, 292, 448, 471, 266]","{0, 1, 2, 3, 4, 5}",0.16666666666666666,0-0.2
140486,"[477, 9, 226, 281, 396, 393, 239, 36, 462, 321, 6, 145, 361, 407, 219]","{0, 1}",0.0,0-0.2
62846,"[242, 304, 376, 192, 206, 0, 320, 451, 338, 421, 317, 406, 188, 154, 386]","{0, 1}",0.5,0.4-0.6
28307,"[205, 36, 423, 225, 3, 123, 400, 287, 88, 461, 255, 452, 124, 496, 87]","{0, 1, 2, 3}",0.25,0.2-0.4
150033,"[24, 165, 41, 240, 108, 441, 167, 272, 155, 432, 181, 213, 395, 87, 64]","{0, 1, 2, 3, 4, 5, 6}",0.0,0-0.2
23305,"[0, 472, 130, 165, 286, 363, 391, 209, 132, 402, 20, 285, 484, 160, 64]","{0, 1, 2, 3}",0.25,0.2-0.4
102477,"[372, 1, 335, 42, 155, 363, 105, 75, 322, 109, 211, 314, 20, 299, 6]","{0, 1, 2, 3}",0.25,0.2-0.4
103641,"[0, 294, 426, 494, 418, 302, 138, 316, 379, 180, 235, 402, 95, 462, 369]",{0},1.0,0.8-1.0
186317,"[9, 36, 147, 207, 83, 47, 151, 194, 106, 95, 330, 305, 362, 234, 130]",{0},0.0,0-0.2
25966,"[1, 256, 451, 132, 466, 212, 311, 42, 78, 450, 208, 333, 335, 383, 153]","{0, 1, 2, 3}",0.25,0.2-0.4
